"CAR WASH USA EXPRE GRAND JUNCTIO CO","Gas/Car"
"ALTA #6316 GRAND JUNCTI CO","Gas/Car"
"ALTA CONVENIENCE GRAND JUNCTIO CO","Gas/Car"
"EXXONMOBIL 4827 GRAND JUNCTIO CO","Gas/Car"
"CHICK-FIL-A #0169 GRAND JCT CO","Eating Out"
"MAIN STREET BAGELS 970-2412740 CO","Eating Out"
"MCDONALD'S F7604 GRAND JUNCTIO CO","Eating Out"
"ZOUP EATERY - 7TH GRAND JUNCTIO CO","Eating Out"
"JIMMY'Z HAMBURGERS 970-2438551 CO","Eating Out"
"POLLO AZADO GRAND JUNCTIO CO","Eating Out"
"WENDY'S 3735 GRAND JUNCTIO CO","Eating Out"
"TST* Pablos Pizza Grand Junctio CO","Eating Out"
"CRUMBL OREM UT","Eating Out"
"OLIVE GARDEN #0001 GRAND JUNCTIO CO","Eating Out"
"TACO BELL 5011 GRAND JUNCTIO CO","Eating Out"
"THE HOG AND THE HE GRAND JCT CO","Eating Out"
"7TH STREET DELI GRAND JUNCTIO CO","Eating Out"
"A & W RESTAURANT GRAND JUNCTIO CO","Eating Out"
"APPLEBEES GRAN4824 GRAND JUNCTIO CO","Eating Out"
"BRECKENRIDGE ALE H GRAND JUNCTIO CO","Eating Out"
"BUFFALO WILD WINGS GRAND JCT CO","Eating Out"
"BURGER KING #8394 FRUITA CO","Eating Out"
"CITROLA'S ITALIAN 970-6399789 CO","Eating Out"
"COLDSTONE #20630 GRAND JUNCTIO CO","Eating Out"
"DREAM CAFE GRAND J GRAND JUNCTIO CO","Eating Out"
"EINSTEIN BAGELS BR 970-2450266 CO","Eating Out"
"FREDDY'S 63-0001 GRAND JUNCTIO CO","Eating Out"
"FREDDY'S 63-0002 GRAND JUNCTIO CO","Eating Out"
"GRAFF DAIRY GRAND JCT CO","Eating Out"
"HOME STYLE BAKERY GRAND JUNCTIO CO","Eating Out"
"KOI RAMEN & SUSHI GRAND JUNCTIO CO","Eating Out"
"STARBUCKS STORE 11 GRAND JUNCTIO CO","Coffee"
"BESTSLOPE COFFEE C FRUITA CO","Coffee"
"TST* COSTA VIDA - GRAND JUNCTIO CO","Coffee"
"SQ *THE COFFEE TRA Grand Junctio CO","Coffee"
"CAMILLA'S KAFFE FRUITA CO","Coffee"
"OLD NAVY ON-LINE 800-6536289 OH","Clothes"
"T J MAXX 2464 HWY. 6 GRAND JUNCTIO CO","Clothes"
"JCPENNEY.COM JCPENNEY.COM NV","Clothes"
"ROSS STORE #596 GRAND JCT CO","Clothes"
"DISCOVER GOODWILL GRAND JUNCTIO CO","Clothes"
"HM.COM 855-4667467 NY","Clothes"
"JCPENNEY 0559 800-542-0800 CO","Clothes"
"JCPENNEY.COM JCPENNEY.COM KS","Clothes"
"SQ *COPEKA COFFEE, Grand Junctio CO","Coffee"
